322,ARA TONTON MONCRANG,PIRAK TIMUR,ACEH UTARA,11,24386
323,ARA,BANDAR BARU,PIDIE JAYA,11,24184
324,ARA,KEMBANG TANJONG (TANJUNG),PIDIE,11,24182
325,ARAFAH,SAMA DUA,ACEH SELATAN,11,23752
326,ARAMIYAH,BIREM BAYEUN,ACEH TIMUR,11,24452
327,ARAS SEMBILAN,BANDAR PUSAKA,ACEH TAMIANG,11,24478
328,ARON ASAN KUMBANG,KEMBANG TANJONG (TANJUNG),PIDIE,11,24182
329,ARON BAROH,WOYLA,ACEH BARAT,11,23654
330,ARON BEUNOT,PADANG TIJI,PIDIE,11,24161
331,ARON GLUMPANG VII,MATANGKULI,ACEH UTARA,11,24386
332,ARON KUTA BARO,KEMBANG TANJONG (TANJUNG),PIDIE,11,24182
333,ARON PIRAK,MATANGKULI,ACEH UTARA,11,24386
334,ARON TUNONG,WOYLA,ACEH BARAT,11,23654
335,ARON,BATEE,PIDIE,11,24152
336,ARON,KUTA BARO,ACEH BESAR,11,23372
337,ARON / ARUN TUNGGAI,MEUKEK,ACEH SELATAN,11,23754
338,ARONGAN LISE,BAKTIYA,ACEH UTARA,11,24392
339,ARONGAN LT,LHOKSUKON,ACEH UTARA,11,24382
340,ARONGAN,ARONGAN LAMBALEK,ACEH BARAT,11,23652
341,ARONGAN,DARUL HIKMAH,ACEH JAYA,11,23656
342,ARONGAN,KUALA PESISIR,NAGAN RAYA,11,23661
343,ARONGAN,SIMPANG MAMPLAM,BIREUEN,11,24251
344,ARUL BADAK,PEGASING,ACEH TENGAH,11,24561
345,ARUL CINCIN,PINTU RIME GAYO,BENER MERIAH,11,24553
346,ARUL DURIN,SERBA JADI,ACEH TIMUR,11,24461
347,ARUL GADING,CELALA,ACEH TENGAH,11,24562
348,ARUL GADING,PINTU RIME GAYO,BENER MERIAH,11,24553
349,ARUL GELE,SILIH NARA,ACEH TENGAH,11,24562
350,ARUL ITEM,LINGE,ACEH TENGAH,11,24563
351,ARUL KUMER BARAT,SILIH NARA,ACEH TENGAH,11,24562
352,ARUL KUMER SELATAN,SILIH NARA,ACEH TENGAH,11,24562
